Start Time:  09-May-17 11:55:53           Time Completed:  09-May-17 12:11:12       Elapsed Time:  00:15:42
Sample ID:     170509, Co-Al A0, 18,5 mg, RT run

Experiment:    C:\IDEASVSM\InduCat\Experiments\hys_c_15000(1_5)_03s_master05\hys_c_15000(1_5)_03s_master05.exp
Data File:     C:\IDEASVSM\InduCat\170509, Co-Al A0, 18,5 mg, RT run (ProfileData)\170509, Co-Al A0, 18,5 mg, RT run#16.txt
Plot File:     C:\IDEASVSM\InduCat\170509, Co-Al A0, 18,5 mg, RT run (ProfileData)\170509, Co-Al A0, 18,5 mg, RT run#16.oc2
VSM Exp File:  C:\IDEASVSM\InduCat\Experiments\hys_c_15000(1_5)_03s_master05\hys_c_15000(1_5)_03s_master05.stp
VSM Data File: C:\IDEASVSM\InduCat\170509, Co-Al A0, 18,5 mg, RT run (ProfileData)\170509, Co-Al A0, 18,5 mg, RT run#16.dat

***DATA***

Field(G)	 Moment(emu)	 Temperature(C)	
 8120.93 	 0.644261 	-270.01 	
 8105.7 	 0.644068 	-270.01 	
 8091.52 	 0.643902 	-270.01 	
 8078 	 0.643769 	-270.01 	
 8059.73 	 0.643776 	-270 	
 8044.43 	 0.643514 	-270.01 	
 8031.21 	 0.643213 	-270.01 	
 8018.04 	 0.643153 	-270.01 	
 8001.03 	 0.643046 	-270 	
 7985.07 	 0.642745 	-270 	
 7969.56 	 0.642544 	-270.01 	
 7956.88 	 0.642412 	-270.01 	
 7941.45 	 0.642414 	-270.01 	
 7925.8 	 0.642219 	-270.01 	
 7912.66 	 0.642016 	-270.01 	
 7895.23 	 0.641892 	-270 	
 7881.74 	 0.641781 	-270.01 	
 7865.14 	 0.641708 	-270.01 	
 7851.86 	 0.641448 	-270.01 	
 7837.1 	 0.641255 	-270.01 	
 7820.75 	 0.641106 	-270.01 	
 7807 	 0.641003 	-270.01 	
 7790.17 	 0.640832 	-270.01 	
 7775.6 	 0.640588 	-270.01 	
 7760.2 	 0.640395 	-270.01 	
 7746.52 	 0.640346 	-270.01 	
 7732.15 	 0.64028 	-270.01 	
 7714.67 	 0.640167 	-270.01 	
 7701.42 	 0.639863 	-270.01 	
 7686.59 	 0.639755 	-270.01 	
 7670.8 	 0.639621 	-270.01 	
 7656.72 	 0.639398 	-270.01 	
 7642.06 	 0.639238 	-270 	
 7625.24 	 0.639111 	-270 	
 7616.96 	 0.639009 	-270.01 	
 7601.43 	 0.638782 	-270 	
 7588.2 	 0.638537 	-270 	
 7566.89 	 0.638412 	-270.01 	
 7550.55 	 0.638159 	-270.01 	
 7536.08 	 0.638064 	-270.01 	
 7521.84 	 0.637888 	-270.01 	
 7506.15 	 0.63783 	-270.01 	
 7491.46 	 0.637452 	-270 	
 7475.74 	 0.63752 	-270.01 	
 7461.23 	 0.637318 	-270 	
 7446.94 	 0.637023 	-270 	
 7432.19 	 0.636791 	-270.01 	
 7416.25 	 0.636718 	-270 	
 7402.41 	 0.636687 	-270 	
 7388.51 	 0.636329 	-270.01 	
 7367.66 	 0.636088 	-270.01 	
 7359.05 	 0.635954 	-270.01 	
 7341.27 	 0.635942 	-270.01 	
 7330.33 	 0.63568 	-270.01 	
 7309.21 	 0.635591 	-270.01 	
 7297.12 	 0.635404 	-270.01 	
 7281.68 	 0.63528 	-270.01 	
 7266.39 	 0.635078 	-270.01 	
 7252 	 0.635 	-270.01 	
 7235.29 	 0.634722 	-270 	
 7222.67 	 0.634463 	-270 	
 7206.26 	 0.634293 	-270.01 	
 7190.68 	 0.634135 	-270.01 	
 7176.28 	 0.633873 	-270.01 	
 7161.06 	 0.633754 	-270.01 	
 7145.48 	 0.633647 	-270.01 	
 7133.18 	 0.633371 	-270.01 	
 7116.89 	 0.633177 	-270.01 	
 7099.2 	 0.632973 	-270.01 	
 7086.34 	 0.632911 	-270.01 	
 7072.12 	 0.632636 	-270 	
 7055.88 	 0.632531 	-270.01 	
 7041.7 	 0.632173 	-270 	
 7025.97 	 0.632171 	-270 	
 7013.68 	 0.631932 	-270.01 	
 6995.8 	 0.631721 	-270.01 	
 6980.61 	 0.631567 	-270.01 	
 6964.49 	 0.631243 	-270.01 	
 6953.81 	 0.631134 	-270.01 	
 6933.19 	 0.631014 	-270.01 	
 6922.86 	 0.630824 	-270.01 	
 6905.95 	 0.63066 	-270.01 	
 6894.53 	 0.630404 	-270.01 	
 6873.45 	 0.630318 	-270.01 	
 6864.08 	 0.629977 	-270.01 	
 6843.29 	 0.629806 	-270.01 	
 6836.28 	 0.629694 	-270.01 	
 6815.23 	 0.629556 	-270.01 	
 6807.32 	 0.629278 	-270.01 	
 6791.28 	 0.629107 	-270.01 	
 6780.13 	 0.628945 	-270.01 	
 6755.16 	 0.628807 	-270.01 	
 6745.46 	 0.628615 	-270.01 	
 6722.36 	 0.628501 	-270.01 	
 6715.68 	 0.62832 	-270.01 	
 6694.93 	 0.62802 	-270.01 	
 6679.48 	 0.627819 	-270.01 	
 6667.09 	 0.62755 	-270.01 	
 6650.47 	 0.627454 	-270.01 	
 6637.94 	 0.627145 	-270.01 	
 6622.01 	 0.626965 	-270 	
 6605.18 	 0.626825 	-270 	
 6594.32 	 0.626598 	-270 	
 6576.34 	 0.626445 	-270.01 	
 6559.89 	 0.626186 	-270.01 	
 6548.22 	 0.62593 	-270 	
 6533.94 	 0.625716 	-270 	
 6514.43 	 0.625626 	-270 	
 6501.07 	 0.625362 	-270.01 	
 6487.12 	 0.625103 	-270.01 	
 6470.02 	 0.624868 	-270.01 	
 6456.13 	 0.624718 	-270.01 	
 6442.33 	 0.624539 	-270.01 	
 6430.37 	 0.624299 	-270 	
 6411.25 	 0.624127 	-270 	
 6394.16 	 0.623932 	-270.01 	
 6381.63 	 0.62367 	-270.01 	
 6370.38 	 0.623401 	-270.01 	
 6348.07 	 0.623311 	-270.01 	
 6334.92 	 0.622937 	-270.01 	
 6324.47 	 0.622766 	-270.01 	
 6309.18 	 0.62264 	-270.01 	
 6288.6 	 0.622412 	-270.01 	
 6276.59 	 0.622248 	-270 	
 6262.75 	 0.62198 	-270.01 	
