Start Time:  08-Mar-17 23:49:20           Time Completed:  08-Mar-17 23:55:53       Elapsed Time:  00:06:48
Sample ID:     170308, MOGV Co-Ni 53,30mg, T-run 1-2

Experiment:    C:\IDEASVSM\InduCat\Experiments\hys_c_300(1)_03s_master06\hys_c_300(1)_03s_master06.exp
Data File:     C:\IDEASVSM\InduCat\170308, MOGV Co-Ni 53,30mg, T-run 1-2 (ProfileData)\170308, MOGV Co-Ni 53,30mg, T-run 1-2#129.txt
Plot File:     C:\IDEASVSM\InduCat\170308, MOGV Co-Ni 53,30mg, T-run 1-2 (ProfileData)\170308, MOGV Co-Ni 53,30mg, T-run 1-2#129.oc2
VSM Exp File:  C:\IDEASVSM\InduCat\Experiments\hys_c_300(1)_03s_master06\hys_c_300(1)_03s_master06.stp
VSM Data File: C:\IDEASVSM\InduCat\170308, MOGV Co-Ni 53,30mg, T-run 1-2 (ProfileData)\170308, MOGV Co-Ni 53,30mg, T-run 1-2#129.dat

***DATA***

Field(G)	 Moment(emu)	 Temperature(C)	
-47.9153 	-0.0106284 	 550.019 	
-48.9311 	-0.0130796 	 550.022 	
-49.8721 	-0.0155324 	 550.022 	
-50.9628 	-0.0180872 	 550.024 	
-51.9007 	-0.0204854 	 550.022 	
-52.8866 	-0.0230417 	 550.021 	
-53.9204 	-0.0255898 	 550.017 	
-54.8973 	-0.0281364 	 550.016 	
-55.8592 	-0.0305847 	 550.014 	
-56.8691 	-0.0330946 	 550.017 	
-57.9358 	-0.0357235 	 550.017 	
-58.9337 	-0.0382017 	 550.016 	
-59.8327 	-0.0406227 	 550.015 	
-60.9564 	-0.0432119 	 550.015 	
-61.8464 	-0.0455353 	 550.021 	
-62.8143 	-0.0480303 	 550.02 	
-63.905 	-0.0506576 	 550.021 	
-64.768 	-0.0529369 	 550.017 	
-65.5471 	-0.0548697 	 550.016 	
-66.7847 	-0.0581041 	 550.01 	
-67.9474 	-0.0607356 	 550.009 	
-68.8254 	-0.0632411 	 550.01 	
-69.8952 	-0.0657114 	 550.012 	
-70.8691 	-0.0682386 	 550.013 	
-71.8699 	-0.0707362 	 550.01 	
-72.8198 	-0.0732944 	 550.013 	
-73.8716 	-0.0759 	 550.012 	
-74.8545 	-0.0784493 	 550.008 	
-75.8764 	-0.0808927 	 550.008 	
-76.8532 	-0.0836808 	 550.014 	
-77.8451 	-0.0861029 	 550.013 	
-78.843 	-0.0886484 	 550.013 	
-79.8528 	-0.0911673 	 550.017 	
-80.7997 	-0.0937251 	 550.016 	
-81.8545 	-0.096096 	 550.015 	
-82.8734 	-0.0986142 	 550.012 	
-83.8113 	-0.101193 	 550.009 	
-84.905 	-0.103718 	 550.01 	
-85.807 	-0.10616 	 550.008 	
-86.8858 	-0.108795 	 550.008 	
-87.9016 	-0.111365 	 550.009 	
-88.8545 	-0.113779 	 550.01 	
-89.8973 	-0.116263 	 550.009 	
-90.8263 	-0.118723 	 550.01 	
-91.8511 	-0.12123 	 550.008 	
-92.816 	-0.123791 	 550.01 	
-93.8139 	-0.126253 	 550.011 	
-94.8237 	-0.1289 	 550.013 	
-95.8156 	-0.131467 	 550.014 	
-96.7925 	-0.133878 	 550.02 	
-97.8892 	-0.136448 	 550.018 	
-98.7732 	-0.138849 	 550.018 	
-99.819 	-0.141537 	 550.017 	
-100.874 	-0.144162 	 550.017 	
-101.767 	-0.146542 	 550.017 	
-102.492 	-0.148365 	 550.015 	
-103.583 	-0.15119 	 550.015 	
-104.841 	-0.154274 	 550.015 	
-105.788 	-0.156685 	 550.014 	
-106.846 	-0.159324 	 550.014 	
-107.778 	-0.161824 	 550.015 	
-108.731 	-0.164438 	 550.019 	
-109.792 	-0.166903 	 550.018 	
-110.81 	-0.169436 	 550.012 	
-111.808 	-0.171842 	 550.012 	
-112.848 	-0.174422 	 550.018 	
-113.801 	-0.176942 	 550.013 	
-114.739 	-0.179424 	 550.014 	
-115.755 	-0.182046 	 550.022 	
-116.819 	-0.184521 	 550.022 	
-117.843 	-0.187231 	 550.016 	
-118.799 	-0.189604 	 550.017 	
-119.776 	-0.192111 	 550.017 	
-120.777 	-0.194698 	 550.017 	
-121.85 	-0.197145 	 550.018 	
-122.752 	-0.1997 	 550.018 	
-123.831 	-0.20223 	 550.016 	
-124.685 	-0.204649 	 550.016 	
-125.76 	-0.207133 	 550.015 	
-126.716 	-0.209558 	 550.017 	
-127.78 	-0.212258 	 550.018 	
-128.778 	-0.214767 	 550.019 	
-129.797 	-0.21734 	 550.019 	
-130.75 	-0.219693 	 550.018 	
-131.742 	-0.222148 	 550.017 	
-132.772 	-0.224797 	 550.016 	
-133.782 	-0.227175 	 550.018 	
-134.693 	-0.229717 	 550.018 	
-135.814 	-0.23227 	 550.023 	
-136.734 	-0.2346 	 550.022 	
-137.759 	-0.237106 	 550.023 	
-138.565 	-0.239259 	 550.023 	
-139.389 	-0.24133 	 550.023 	
-140.767 	-0.244744 	 550.019 	
-141.639 	-0.24699 	 550.02 	
-142.847 	-0.24968 	 550.018 	
-143.749 	-0.252213 	 550.016 	
-144.654 	-0.254584 	 550.019 	
-145.736 	-0.257139 	 550.016 	
-146.76 	-0.259501 	 550.021 	
-147.728 	-0.261949 	 550.021 	
-148.774 	-0.264494 	 550.023 	
-149.727 	-0.266943 	 550.023 	
-150.659 	-0.269416 	 550.022 	
-151.771 	-0.271834 	 550.023 	
-152.84 	-0.274339 	 550.024 	
-153.715 	-0.276695 	 550.022 	
-154.683 	-0.279102 	 550.023 	
-155.684 	-0.281593 	 550.022 	
-156.808 	-0.284074 	 550.02 	
-157.701 	-0.286538 	 550.019 	
-158.711 	-0.289018 	 550.019 	
-159.79 	-0.291391 	 550.019 	
-160.784 	-0.293883 	 550.025 	
-161.686 	-0.296199 	 550.021 	
-162.693 	-0.298675 	 550.02 	
-163.727 	-0.301143 	 550.019 	
-164.614 	-0.303467 	 550.019 	
-165.72 	-0.306009 	 550.016 	
-166.673 	-0.308428 	 550.017 	
-167.742 	-0.310882 	 550.017 	
-168.752 	-0.313358 	 550.016 	
-169.639 	-0.315603 	 550.015 	
-170.772 	-0.31809 	 550.016 	
-171.698 	-0.320468 	 550.018 	
-172.708 	-0.322948 	 550.022 	
-173.718 	-0.325238 	 550.015 	
-174.605 	-0.327312 	 550.017 	
-175.399 	-0.329252 	 550.019 	
-176.591 	-0.332196 	 550.014 	
-177.667 	-0.334806 	 550.014 	
-178.686 	-0.33723 	 550.013 	
-179.687 	-0.339734 	 550.013 	
-180.649 	-0.342035 	 550.013 	
-181.718 	-0.344549 	 550.009 	
-182.659 	-0.346926 	 550.013 	
-183.636 	-0.349351 	 550.009 	
-184.763 	-0.351645 	 550.009 	
-185.623 	-0.353862 	 550.009 	
-186.69 	-0.356258 	 550.009 	
-187.679 	-0.35857 	 550.009 	
-188.605 	-0.360815 	 550.011 	
-189.644 	-0.363197 	 550.019 	
-190.657 	-0.36562 	 550.017 	
-191.619 	-0.368092 	 550.022 	
-192.722 	-0.370334 	 550.018 	
-193.582 	-0.372571 	 550.017 	
-194.682 	-0.374837 	 550.018 	
-195.689 	-0.377139 	 550.019 	
-196.653 	-0.379558 	 550.015 	
-197.648 	-0.381879 	 550.017 	
-198.664 	-0.384298 	 550.015 	
-199.674 	-0.386633 	 550.015 	
-200.633 	-0.388791 	 550.015 	
-201.58 	-0.391029 	 550.017 	
-202.686 	-0.393547 	 550.016 	
-203.689 	-0.395807 	 550.016 	
-204.639 	-0.398034 	 550.013 	
-205.61 	-0.400374 	 550.012 	
-206.665 	-0.402679 	 550.013 	
-207.627 	-0.404835 	 550.014 	
-208.679 	-0.407146 	 550.015 	
-209.596 	-0.409475 	 550.009 	
-210.402 	-0.411343 	 550.015 	
-211.439 	-0.4132 	 550.013 	
-212.49 	-0.416027 	 550.006 	
-213.509 	-0.418501 	 550.008 	
-214.657 	-0.420843 	 550.005 	
-215.613 	-0.423026 	 550.011 	
-216.632 	-0.425303 	 550.012 	
-217.6 	-0.427536 	 550.008 	
-218.615 	-0.429765 	 550.01 	
-219.658 	-0.43222 	 550.013 	
-220.608 	-0.434404 	 550.009 	
-221.597 	-0.436596 	 550.011 	
-222.628 	-0.438787 	 550.013 	
-223.668 	-0.441019 	 550.01 	
-224.576 	-0.443306 	 550.009 	
-225.591 	-0.445516 	 550.008 	
-226.472 	-0.447684 	 550.008 	
-227.692 	-0.450115 	 550.008 	
-228.591 	-0.452267 	 550.007 	
-229.544 	-0.45437 	 550.006 	
-230.635 	-0.456816 	 550.007 	
-231.561 	-0.45894 	 550.008 	
-232.549 	-0.461099 	 550.009 	
-233.643 	-0.463231 	 550.007 	
-234.485 	-0.465428 	 550.007 	
-235.63 	-0.467695 	 550.013 	
-236.598 	-0.469846 	 550.008 	
-237.596 	-0.471914 	 550.006 	
-238.636 	-0.474086 	 550.002 	
-239.502 	-0.476205 	 550 	
-240.55 	-0.478356 	 550.008 	
-241.599 	-0.480574 	 550.008 	
-242.582 	-0.482736 	 550.01 	
-243.541 	-0.484892 	 550.008 	
-244.539 	-0.486995 	 550.007 	
-245.591 	-0.489101 	 550.01 	
-246.621 	-0.491306 	 550.011 	
-247.484 	-0.493327 	 550.01 	
-248.38 	-0.494949 	 550.014 	
-249.234 	-0.496937 	 550.012 	
-250.595 	-0.499799 	 550.009 	
-251.521 	-0.501944 	 550.007 	
-252.555 	-0.503939 	 550.007 	
-253.493 	-0.506117 	 550.014 	
-254.655 	-0.508366 	 550.011 	
-255.524 	-0.510331 	 550.01 	
-256.513 	-0.512426 	 550.015 	
-257.58 	-0.51469 	 550.012 	
-258.515 	-0.516761 	 550.012 	
-259.534 	-0.518802 	 550.01 	
-260.508 	-0.520831 	 550.01 	
-261.565 	-0.523015 	 550.011 	
-262.56 	-0.525163 	 550.012 	
-263.546 	-0.527238 	 550.012 	
-264.469 	-0.529168 	 550.02 	
-265.566 	-0.531337 	 550.021 	
-266.534 	-0.533481 	 550.014 	
-267.49 	-0.535355 	 550.019 	
-268.577 	-0.537473 	 550.017 	
-269.5 	-0.539485 	 550.014 	
-270.483 	-0.541433 	 550.014 	
-271.52 	-0.543394 	 550.018 	
-272.503 	-0.545552 	 550.014 	
-273.495 	-0.547613 	 550.015 	
-274.541 	-0.549698 	 550.018 	
-275.517 	-0.551661 	 550.018 	
-276.506 	-0.553778 	 550.013 	
-277.444 	-0.555645 	 550.015 	
-278.457 	-0.557853 	 550.015 	
-279.602 	-0.559931 	 550.012 	
-280.513 	-0.561867 	 550.013 	
